신코드,신항목명,구코드,구항목명
,,511,도매 판매 종사자
28,문화․예술․스포츠 전문가 및 관련직,,
281,작가․기자 및 출판 전문가,182,작가 및 관련 전문가
282,큐레이터․사서 및 기록물관리사,181,"기록 보관원, 사서 및 관련 전문가 "
283,연극․영화 및 영상 전문가,184,"영화, 연극 및 방송관련 전문가"
,,235,광학 및 전자장비 기술종사자 
,,281,예술 및 연예관련 준전문가
,,316,"자재, 생산 및 운송관련 사무 종사자"
,,530,모델 및 홍보 종사자
,,713,건물 완성 및 관련 기능 종사자 
284,화가․사진가 및 공연예술가,183,창작 및 공연예술가
,,235,광학 및 전자장비 기술종사자 
,,281,예술 및 연예관련 준전문가
285,디자이너,120,컴퓨터관련 전문가
,,183,창작 및 공연예술가
286,스포츠 및 레크레이션 관련 전문가 ,282,"운동, 경기 및 체력관련 준전문가   "
,,415,오락 및 여가서비스 종사자
289,매니저 및 기타 문화․예술 관련 종사자,263,상품중개 및 사업서비스대리 종사자
,,281,예술 및 연예관련 준전문가
,,283,"기타 예술, 연예 및 경기 준전문가 "
3,사무 종사자,,
31,경영 및 회계 관련 사무직,,
311,행정 사무원,293,"관세, 조세 및 관련 정부 준전문가"
,,313,정부행정 사무 종사자
,,318,"도서, 우편 및 관련 사무 종사자"
312,경영관련 사무원,263,상품중개 및 사업서비스대리 종사자
,,311,일반사무 종사자
,,312,기획 및 홍보사무 종사자
,,314,판매 관련사무 종사자
,,316,"자재, 생산 및 운송관련 사무 종사자"
313,회계 및 경리 사무원,315,계수사무 종사자
314,비서 및 사무 보조원,291,관리 준전문가
,,317,사무 지원 종사자
,,411,개인보호 및 관련 종사자
32,금융 및 보험 사무직,,
320,금융 및 보험 관련 사무 종사자,292,"법률, 의료 및 관련 사업 준전문가 "
,,315,계수사무 종사자
,,321,대금수납 및 금전출납 사무 종사자
33,법률 및 감사 사무직,,
330,법률 및 감사 사무 종사자,292,"법률, 의료 및 관련 사업 준전문가 "
39,상담․안내․통계 및 기타 사무직,,
391,통계관련 사무원,315,계수사무 종사자
,,318,"도서, 우편 및 관련 사무 종사자"
392,여행․안내 및 접수 사무원,322,안내 및 접수 사무 종사자
399,고객 상담 및 기타 사무원,291,관리 준전문가
,,318,"도서, 우편 및 관련 사무 종사자"
,,323,고객 관련 사무 종사자
,,415,오락 및 여가서비스 종사자
4,서비스 종사자,,
41,경찰․소방 및 보안 관련 서비스직,,
411,경찰․소방 및 교도 관련 종사자,441,경찰 종사자
,,442,소방 및 응급구조 종사자
,,443,교도 및 보도 종사자
412,경호 및 보안 관련 종사자,444,기타 보안서비스 종사자
42,이미용․예식 및 의료보조 서비스직,,
421,의료․복지 관련 서비스 종사자,411,개인보호 및 관련 종사자
422,이․미용 및 관련 서비스 종사자,412,이․미용 및 관련 서비스 종사자 
423,혼례 및 장례 종사자,414,장의 및 관련 서비스 종사자 
,,416,기타 대인 서비스 관련 종사자
429,기타 이미용․예식 및 의료보조 서비스 종사자,411,개인보호 및 관련 종사자
,,413,시중서비스 종사자
,,416,기타 대인 서비스 관련 종사자
43,운송 및 여가 서비스직,,
431,운송 서비스 종사자,431,운송수행 종사자
432,여가 및 스포츠 관련 종사자,413,시중서비스 종사자
,,415,오락 및 여가서비스 종사자
,,432,여행안내 종사자
44,조리 및 음식 서비스직,,
441,주방장 및 조리사,421,음식 조리 종사자
442,음식서비스 종사자,415,오락 및 여가서비스 종사자
,,422,음식 서비스 관련 종사자
5,판매 종사자,,
51,영업직,,
510,영업종사자,261,금융․보험 준전문가
,,262,판매 준전문가
,,263,상품중개 및 사업서비스대리 종사자
,,511,도매 판매 종사자
,,513,소매 방문판매 및 이동판매 종사자
52,매장 판매직,,
521,매장 판매 종사자,321,대금수납 및 금전출납 사무 종사자
,,322,안내 및 접수 사무 종사자
,,511,도매 판매 종사자
,,512,소매업체 판매 종사자
522,상품 대여 종사자,314,판매 관련사무 종사자
,,415,오락 및 여가서비스 종사자
53,방문․노점 및 통신 판매 관련직,,
530,방문․노점 및 통신 판매 관련 종사자,513,소매 방문판매 및 이동판매 종사자
,,521,전화통신 판매 종사자
,,522,통신서비스 및 통신 재판매 종사자 
,,530,모델 및 홍보 종사자
6,농림어업 숙련 종사자,,
61,농․축산 숙련직,,
611,작물재배 종사자,611,전답작물 재배 종사자
,,612,과수작물 재배 종사자
,,613,"정원사, 육묘 및 버섯 재배 종사자 "
,,614,복합 및 시설작물 재배 종사자
,,616,작물 및 동물 복합 생산자
,,617,자급농업 종사자
612,원예 및 조경 종사자,613,"정원사, 육묘 및 버섯 재배 종사자 "
,,614,복합 및 시설작물 재배 종사자
,,616,작물 및 동물 복합 생산자
613,축산 및 사육 관련 종사자,615,동물사육 및 관련 종사자
,,616,작물 및 동물 복합 생산자
,,618,수렵업 종사자
62,임업 숙련직,,
620,임업관련 종사자,611,전답작물 재배 종사자
,,620,임업 숙련 종사자
63,어업 숙련직,,
630,어업관련 종사자,630,어업 숙련 종사자
7,기능원 및 관련 기능 종사자,,
71,식품가공관련 기능직,,
710,식품가공관련 기능 종사자,751,식품가공 및 관련 기능 종사자
72,섬유․의복 및 가죽 관련 기능직,,
721,섬유 및 가죽 관련 기능 종사자,743,"목재, 섬유, 가죽 및 관련재료 수공예 종사자"
,,744,인쇄 및 관련 기능 종사자
,,753,"섬유, 의복제조 및 관련 기능 종사자"
,,754,"펠트, 가죽신발 제조관련 기능 종사자"
722,의복 제조관련 기능 종사자,743,"목재, 섬유, 가죽 및 관련재료 수공예 종사자"
