p130101,p130107,p130110,p130350,p131642
2,69,4,920.0,20.0
1,42,5,713.0,280.0
1,59,5,911.0,80.0
2,56,5,911.0,52.0
2,31,6,317.0,70.0
1,40,7,120.0,400.0
2,75,3,914.0,20.0
1,38,6,312.0,210.0
2,40,8,152.0,300.0
2,56,2,911.0,50.0
1,53,3,911.0,100.0
2,61,4,911.0,100.0
1,40,5,313.0,250.0
2,38,7,315.0,200.0
2,35,7,315.0,100.0
1,48,4,753.0,200.0
2,52,5,753.0,150.0
2,37,4,915.0,92.0
1,41,5,733.0,200.0
1,37,5,522.0,200.0
1,38,5,833.0,155.0
1,54,5,842.0,170.0
2,47,4,753.0,100.0
2,51,4,753.0,140.0
1,26,5,235.0,140.0
2,22,4,415.0,80.0
1,72,5,912.0,85.0
1,71,4,912.0,110.0
2,29,7,315.0,180.0
1,49,3,753.0,150.0
2,46,3,753.0,150.0
2,26,5,512.0,150.0
2,21,5,521.0,130.0
2,36,6,182.0,80.0
1,33,7,615.0,245.0
1,42,7,312.0,400.0
1,56,4,512.0,150.0
2,50,5,512.0,150.0
1,46,7,164.0,500.0
1,46,8,23.0,630.0
2,42,7,143.0,216.0
2,54,7,513.0,200.0
2,31,7,314.0,280.0
2,22,6,317.0,100.0
1,80,5,753.0,100.0
2,41,5,422.0,100.0
1,42,6,262.0,200.0
2,29,6,312.0,130.0
2,61,5,411.0,100.0
2,38,8,143.0,400.0
2,30,7,143.0,240.0
1,60,3,913.0,150.0
2,31,7,156.0,200.0
1,33,8,141.0,1083.0
1,32,8,312.0,420.0
2,28,6,154.0,250.0
1,65,5,314.0,100.0
2,32,8,183.0,200.0
1,71,4,912.0,80.0
1,36,5,262.0,110.0
1,33,8,112.0,300.0
2,45,4,753.0,180.0
1,35,7,135.0,450.0
1,33,8,312.0,150.0
2,28,7,271.0,145.0
1,59,5,842.0,120.0
2,51,4,421.0,130.0
1,68,4,714.0,120.0
1,38,5,714.0,150.0
1,41,5,733.0,200.0
2,51,3,422.0,80.0
1,52,8,152.0,380.0
2,49,6,143.0,150.0
1,56,8,173.0,400.0
2,59,3,911.0,50.0
2,34,7,156.0,60.0
1,38,7,316.0,410.0
2,24,5,317.0,120.0
1,49,7,173.0,200.0
2,71,3,911.0,70.0
1,44,5,262.0,200.0
1,35,7,313.0,170.0
2,30,7,521.0,170.0
1,44,7,184.0,250.0
1,58,3,712.0,70.0
1,60,4,421.0,200.0
2,54,4,911.0,100.0
2,28,6,314.0,210.0
1,26,5,831.0,130.0
1,58,4,712.0,200.0
1,29,7,237.0,180.0
2,40,5,512.0,150.0
2,31,7,311.0,100.0
1,33,7,262.0,150.0
2,26,5,315.0,145.0
1,64,3,415.0,100.0
2,40,7,317.0,120.0
2,53,5,321.0,80.0
1,31,8,120.0,400.0
1,41,7,315.0,550.0
2,38,7,315.0,400.0
1,63,5,930.0,120.0
2,57,4,913.0,80.0
2,32,7,315.0,240.0
1,28,5,522.0,120.0
2,49,5,411.0,80.0
1,40,9,151.0,300.0
2,33,5,315.0,385.0
2,67,3,512.0,100.0
2,44,5,421.0,80.0
1,56,5,842.0,140.0
2,54,5,826.0,30.0
2,26,7,156.0,40.0
2,41,7,321.0,70.0
1,52,5,941.0,250.0
2,53,5,512.0,108.0
1,25,6,731.0,170.0
1,42,7,313.0,350.0
2,40,7,183.0,180.0
2,42,6,143.0,200.0
2,61,5,411.0,50.0
2,36,8,252.0,200.0
2,34,6,182.0,240.0
1,31,7,132.0,350.0
1,27,7,312.0,100.0
2,23,6,412.0,100.0
2,29,7,311.0,220.0
2,26,6,220.0,120.0
2,44,5,751.0,100.0
1,61,4,842.0,100.0
2,56,4,911.0,60.0
2,31,6,282.0,200.0
2,44,4,422.0,100.0
2,47,5,321.0,100.0
2,54,4,753.0,180.0
1,44,5,912.0,80.0
2,39,5,741.0,100.0
2,51,3,753.0,100.0
1,47,5,713.0,80.0
1,47,3,941.0,80.0
1,44,3,753.0,70.0
2,47,4,422.0,100.0
1,20,6,415.0,90.0
2,25,6,323.0,120.0
1,55,4,823.0,200.0
2,52,4,512.0,90.0
1,39,8,823.0,300.0
1,62,4,920.0,100.0
1,44,5,311.0,145.0
1,56,7,152.0,350.0
2,52,6,311.0,190.0
1,58,5,912.0,120.0
1,34,5,842.0,150.0
1,44,5,712.0,430.0
2,42,5,411.0,55.0
1,31,5,713.0,250.0
1,65,3,941.0,80.0
1,52,3,941.0,170.0
2,48,3,915.0,100.0
2,31,6,315.0,250.0
2,27,6,315.0,150.0
2,26,7,312.0,150.0
2,30,7,112.0,140.0
1,61,5,842.0,200.0
2,37,7,156.0,250.0
1,32,7,132.0,250.0
2,46,5,315.0,96.0
2,55,4,911.0,120.0
1,26,6,512.0,80.0
1,44,4,713.0,210.0
2,52,4,422.0,120.0
1,29,6,220.0,150.0
2,26,6,317.0,160.0
1,42,4,235.0,190.0
2,41,5,422.0,140.0
1,32,5,733.0,250.0
2,30,5,220.0,250.0
1,56,3,913.0,120.0
2,57,3,512.0,120.0
1,72,3,912.0,60.0
1,36,7,162.0,232.0
1,44,7,312.0,660.0
1,57,8,132.0,500.0
1,71,5,314.0,100.0
1,30,6,311.0,300.0
1,36,5,941.0,150.0
1,48,5,263.0,120.0
2,42,4,721.0,130.0
1,56,7,712.0,150.0
1,53,8,732.0,250.0
1,32,7,312.0,225.0
2,29,7,183.0,120.0
1,45,7,314.0,200.0
2,45,6,262.0,100.0
1,32,6,183.0,200.0
2,50,4,512.0,150.0
