p040101,p040107,p040110,p040350,p041642
1,50,5,941.0,80.0
1,31,7,120.0,200.0
2,27,6,143.0,119.0
2,77,2,914.0,20.0
1,29,6,312.0,175.0
2,31,8,152.0,185.0
2,29,7,262.0,149.0
2,47,2,911.0,60.0
1,44,3,911.0,65.0
2,52,4,911.0,60.0
2,53,3,911.0,100.0
1,56,3,941.0,70.0
2,51,3,911.0,20.0
2,29,7,315.0,109.0
2,26,7,183.0,79.0
1,24,5,512.0,70.0
1,39,4,753.0,150.0
2,43,5,753.0,100.0
2,63,3,911.0,24.0
1,73,3,914.0,8.0
1,28,5,823.0,115.0
1,45,7,315.0,200.0
2,42,5,323.0,85.0
1,36,6,512.0,150.0
1,30,4,281.0,80.0
2,31,4,512.0,100.0
1,37,5,753.0,170.0
2,37,3,753.0,150.0
1,33,7,-1.0,190.0
2,41,5,512.0,100.0
1,28,5,721.0,90.0
1,29,7,314.0,92.0
2,45,7,422.0,100.0
2,24,7,315.0,80.0
2,22,5,314.0,90.0
2,42,7,152.0,167.0
2,65,3,911.0,50.0
1,33,5,-1.0,200.0
2,28,6,143.0,90.0
1,22,7,120.0,110.0
2,67,4,914.0,12.0
2,25,6,143.0,70.0
1,57,5,311.0,120.0
2,29,7,143.0,110.0
1,27,7,315.0,130.0
2,50,4,911.0,80.0
1,24,6,323.0,40.0
2,34,5,512.0,150.0
1,47,5,314.0,450.0
1,52,7,23.0,300.0
1,56,5,314.0,138.0
2,50,5,512.0,160.0
1,27,5,512.0,107.0
2,24,5,322.0,60.0
1,41,4,753.0,100.0
2,36,4,743.0,100.0
1,67,4,825.0,60.0
1,42,4,714.0,120.0
1,26,7,237.0,-1.0
1,50,5,842.0,80.0
1,59,4,822.0,94.0
2,55,3,422.0,100.0
1,43,4,825.0,187.0
2,42,3,422.0,108.0
1,43,8,152.0,225.0
2,40,6,143.0,130.0
1,47,8,173.0,250.0
2,45,8,151.0,100.0
1,32,7,-1.0,242.0
1,27,5,913.0,144.0
2,25,7,251.0,86.0
1,28,8,120.0,141.0
1,29,7,316.0,180.0
1,33,5,913.0,100.0
2,62,3,941.0,20.0
