p120101,p120107,p120110,p120350,p121642
2,68,4,920.0,45.0
2,55,5,911.0,59.0
2,30,6,317.0,70.0
1,39,7,120.0,300.0
2,74,3,911.0,65.0
1,37,6,315.0,1000.0
2,39,8,152.0,350.0
2,55,2,911.0,40.0
1,52,3,911.0,55.0
2,33,7,314.0,207.0
1,39,7,262.0,150.0
1,39,5,313.0,340.0
2,54,4,521.0,75.0
1,30,6,120.0,150.0
1,64,3,941.0,100.0
2,37,7,315.0,180.0
2,34,7,262.0,80.0
1,47,4,753.0,150.0
2,51,5,753.0,100.0
2,36,4,915.0,100.0
1,36,5,522.0,150.0
1,37,5,833.0,160.0
1,53,5,842.0,170.0
2,46,4,753.0,80.0
1,17,5,422.0,13.0
2,50,4,753.0,110.0
1,25,5,415.0,90.0
2,21,4,415.0,70.0
1,71,5,912.0,85.0
2,39,6,182.0,120.0
1,70,4,912.0,70.0
2,64,2,930.0,30.0
1,48,3,753.0,150.0
2,45,3,753.0,150.0
2,25,5,512.0,130.0
2,20,5,521.0,120.0
2,35,6,182.0,120.0
1,32,7,615.0,200.0
1,41,7,312.0,300.0
1,55,4,512.0,150.0
2,49,5,512.0,80.0
1,45,7,164.0,850.0
1,45,8,120.0,380.0
2,41,7,143.0,190.0
2,53,7,513.0,350.0
2,30,7,314.0,270.0
1,79,5,753.0,60.0
1,72,4,915.0,20.0
2,40,5,422.0,120.0
1,30,7,120.0,240.0
2,28,6,312.0,190.0
2,60,5,411.0,130.0
1,59,3,913.0,150.0
2,58,4,416.0,50.0
1,38,5,721.0,130.0
2,38,5,930.0,64.0
1,60,7,23.0,535.0
1,32,8,141.0,900.0
1,31,8,312.0,320.0
2,31,8,183.0,200.0
1,70,4,912.0,80.0
1,35,5,262.0,105.0
1,32,8,112.0,300.0
1,49,5,321.0,380.0
2,44,4,753.0,160.0
1,34,7,135.0,240.0
1,32,8,314.0,250.0
1,30,6,712.0,200.0
1,58,5,842.0,90.0
2,50,4,421.0,80.0
1,37,5,714.0,170.0
1,51,8,152.0,400.0
2,48,6,143.0,150.0
2,22,7,415.0,16.0
2,20,6,422.0,15.0
1,55,8,173.0,300.0
2,58,3,911.0,50.0
2,33,7,156.0,70.0
1,37,7,316.0,500.0
1,48,7,173.0,220.0
2,70,3,911.0,50.0
2,29,7,521.0,150.0
1,43,7,184.0,190.0
1,57,3,712.0,80.0
1,59,4,421.0,180.0
2,53,4,911.0,80.0
1,57,4,712.0,250.0
1,28,7,237.0,150.0
2,72,3,915.0,8.0
1,42,5,315.0,150.0
2,54,3,911.0,70.0
1,32,7,262.0,150.0
2,25,5,315.0,120.0
1,63,3,415.0,90.0
2,39,7,317.0,120.0
2,52,5,321.0,70.0
1,30,8,120.0,400.0
1,40,7,315.0,550.0
2,37,7,315.0,420.0
1,62,5,930.0,100.0
2,56,4,913.0,60.0
