p090101,p090107,p090110,p090350,p091642
1,55,5,412.0,90.0
2,52,5,911.0,55.0
2,27,6,317.0,100.0
1,36,7,120.0,320.0
2,36,8,152.0,280.0
2,52,2,911.0,50.0
1,49,3,911.0,70.0
2,57,4,911.0,120.0
2,30,7,314.0,150.0
1,36,7,314.0,250.0
1,36,5,313.0,250.0
2,51,4,521.0,70.0
1,27,6,120.0,150.0
1,61,3,941.0,150.0
2,56,3,911.0,50.0
2,34,7,315.0,150.0
1,44,4,753.0,150.0
2,48,5,753.0,100.0
2,33,5,422.0,20.0
1,39,5,511.0,160.0
1,78,3,914.0,10.0
1,33,5,522.0,100.0
1,34,5,833.0,140.0
2,47,4,753.0,60.0
2,18,4,322.0,-1.0
1,30,4,913.0,150.0
1,67,4,912.0,80.0
1,35,4,281.0,200.0
1,27,7,511.0,120.0
2,25,7,315.0,150.0
1,45,3,753.0,100.0
2,42,3,753.0,100.0
2,22,5,512.0,100.0
2,32,6,182.0,150.0
1,29,7,615.0,200.0
1,38,7,521.0,300.0
2,46,5,512.0,70.0
1,34,7,314.0,300.0
1,42,8,120.0,480.0
2,38,7,143.0,150.0
2,27,7,314.0,150.0
1,38,5,911.0,177.0
1,51,6,914.0,40.0
2,37,7,182.0,320.0
1,45,5,713.0,130.0
2,53,5,521.0,70.0
2,41,6,262.0,180.0
2,37,5,422.0,120.0
1,27,7,120.0,100.0
2,25,6,312.0,110.0
2,57,5,282.0,150.0
1,32,7,315.0,280.0
2,26,7,143.0,190.0
1,29,6,522.0,180.0
1,35,5,721.0,150.0
2,35,7,152.0,170.0
1,40,7,314.0,150.0
1,57,7,23.0,500.0
1,29,8,141.0,200.0
1,28,8,312.0,300.0
1,34,7,237.0,170.0
2,28,8,183.0,150.0
1,67,4,912.0,70.0
1,32,5,262.0,120.0
1,29,8,112.0,210.0
1,46,5,321.0,250.0
2,41,4,753.0,160.0
2,46,4,421.0,70.0
1,31,7,237.0,200.0
1,29,8,182.0,250.0
2,24,6,271.0,150.0
1,55,5,842.0,120.0
2,47,4,421.0,100.0
1,64,4,714.0,200.0
1,39,5,714.0,150.0
2,47,3,422.0,150.0
1,48,8,152.0,400.0
2,45,6,143.0,150.0
1,52,8,173.0,250.0
1,60,4,930.0,100.0
2,55,3,911.0,50.0
1,32,5,311.0,120.0
1,28,7,292.0,200.0
