p010101,p010107,p010110,p010350,p011642
1,26,4,930.0,100.0
1,25,7,252.0,80.0
1,33,6,253.0,90.0
1,28,6,315.0,50.0
1,56,3,941.0,100.0
1,42,4,741.0,150.0
2,42,4,911.0,30.0
1,39,4,712.0,100.0
2,58,3,513.0,150.0
2,74,2,914.0,20.0
2,38,7,252.0,70.0
2,61,3,911.0,60.0
2,36,4,911.0,35.0
1,53,7,30.0,165.0
2,45,5,317.0,50.0
2,28,5,143.0,80.0
1,25,5,512.0,120.0
1,59,5,713.0,20.0
1,64,5,842.0,149.0
1,38,5,713.0,60.0
2,35,3,753.0,60.0
1,23,5,316.0,90.0
1,49,3,941.0,35.0
2,43,3,911.0,80.0
2,19,5,311.0,65.0
1,31,5,312.0,140.0
2,30,5,321.0,73.0
1,28,5,441.0,145.0
2,27,5,315.0,70.0
1,38,5,311.0,100.0
2,60,2,421.0,75.0
2,41,4,753.0,100.0
1,30,4,753.0,140.0
1,24,5,316.0,90.0
1,48,5,712.0,140.0
2,46,4,753.0,100.0
1,23,5,941.0,80.0
1,42,3,754.0,50.0
1,65,3,912.0,50.0
2,36,5,753.0,80.0
1,37,5,713.0,80.0
2,41,4,753.0,80.0
1,27,5,733.0,70.0
1,27,5,913.0,120.0
2,40,5,422.0,45.0
1,32,5,753.0,130.0
1,51,7,151.0,385.0
1,56,4,911.0,77.0
2,23,6,157.0,60.0
1,23,5,753.0,120.0
1,53,4,714.0,70.0
2,51,3,911.0,80.0
2,66,4,513.0,50.0
2,25,5,182.0,80.0
2,29,5,311.0,80.0
1,56,3,941.0,100.0
1,29,8,132.0,121.0
2,25,5,317.0,60.0
1,22,5,422.0,80.0
1,51,5,712.0,80.0
2,21,5,422.0,30.0
1,30,5,183.0,140.0
2,28,7,220.0,-1.0
1,32,7,312.0,100.0
2,20,5,143.0,75.0
2,33,4,262.0,35.0
1,51,3,911.0,148.0
2,47,3,911.0,-1.0
1,18,5,829.0,80.0
1,44,4,753.0,90.0
2,36,4,753.0,90.0
1,56,4,912.0,60.0
2,50,3,753.0,50.0
2,21,7,323.0,60.0
1,56,3,912.0,85.0
2,50,3,513.0,-1.0
1,29,5,826.0,100.0
2,24,5,512.0,65.0
1,50,4,941.0,45.0
2,28,5,513.0,100.0
2,25,7,182.0,100.0
1,59,5,313.0,160.0
1,36,7,312.0,250.0
1,28,5,512.0,100.0
1,53,3,912.0,100.0
2,49,3,421.0,60.0
1,56,4,823.0,115.0
2,52,3,823.0,80.0
1,27,6,732.0,80.0
2,25,6,292.0,58.0
1,44,7,312.0,215.0
1,44,4,942.0,70.0
1,38,7,262.0,134.0
1,48,5,842.0,120.0
1,54,4,912.0,100.0
1,50,7,262.0,200.0
1,41,4,23.0,200.0
1,36,3,183.0,60.0
2,41,5,513.0,100.0
1,54,8,156.0,250.0
2,44,7,152.0,120.0
1,62,7,152.0,266.0
2,28,6,161.0,150.0
2,62,4,911.0,38.0
1,46,7,311.0,100.0
2,29,7,312.0,135.0
1,28,5,511.0,130.0
1,36,5,733.0,100.0
1,39,5,711.0,150.0
1,29,7,312.0,190.0
2,23,7,156.0,80.0
2,38,5,513.0,80.0
1,43,5,913.0,100.0
1,35,7,156.0,200.0
1,42,6,23.0,260.0
2,25,5,315.0,120.0
1,32,6,242.0,100.0
1,23,6,311.0,120.0
1,60,3,131.0,300.0
2,23,6,315.0,72.0
1,36,5,311.0,125.0
2,35,6,513.0,20.0
1,29,5,311.0,150.0
2,22,5,512.0,70.0
1,30,7,313.0,100.0
1,57,3,941.0,90.0
2,56,3,911.0,47.0
2,41,6,152.0,245.0
1,32,5,842.0,60.0
1,56,4,23.0,160.0
2,53,4,826.0,50.0
2,27,6,317.0,73.0
2,23,6,317.0,70.0
1,62,5,842.0,70.0
1,31,5,713.0,150.0
1,28,7,316.0,135.0
2,36,5,411.0,35.0
1,50,5,511.0,300.0
1,44,7,161.0,194.0
1,44,8,314.0,200.0
1,46,7,312.0,354.0
1,45,8,743.0,200.0
2,42,5,311.0,160.0
2,22,5,323.0,60.0
1,51,5,30.0,190.0
1,22,6,422.0,42.0
2,21,7,282.0,50.0
1,29,5,316.0,90.0
1,38,3,421.0,70.0
1,43,5,832.0,150.0
1,30,7,315.0,150.0
2,28,6,315.0,100.0
1,39,6,829.0,130.0
1,40,5,313.0,80.0
1,37,5,842.0,150.0
1,32,5,713.0,100.0
1,50,7,22.0,280.0
1,30,8,312.0,130.0
1,27,5,220.0,69.0
1,34,5,262.0,120.0
1,40,6,315.0,170.0
1,68,4,829.0,75.0
1,36,6,262.0,130.0
1,43,4,826.0,130.0
2,38,3,421.0,70.0
2,64,3,911.0,60.0
2,42,3,753.0,77.0
2,26,5,-1.0,80.0
2,25,5,315.0,50.0
1,76,2,912.0,30.0
1,34,5,262.0,117.0
1,54,5,842.0,100.0
2,25,6,241.0,54.0
1,23,6,713.0,40.0
2,37,5,513.0,150.0
1,74,4,311.0,50.0
1,39,7,23.0,120.0
2,36,5,154.0,80.0
1,23,7,120.0,76.0
1,48,5,311.0,96.0
1,36,5,842.0,90.0
1,30,7,156.0,240.0
1,60,3,842.0,45.0
1,54,5,512.0,130.0
1,43,7,713.0,80.0
1,43,5,733.0,130.0
2,33,5,930.0,15.0
1,50,7,441.0,-1.0
1,32,6,312.0,210.0
1,33,7,312.0,210.0
1,43,5,318.0,270.0
1,35,6,312.0,150.0
1,43,7,912.0,150.0
2,40,5,512.0,100.0
1,44,5,313.0,233.0
2,41,5,825.0,83.0
1,38,7,312.0,150.0
1,30,7,315.0,150.0
1,40,7,23.0,160.0
1,43,5,441.0,170.0
1,33,7,315.0,105.0
1,38,5,712.0,100.0
1,32,7,315.0,230.0
1,32,9,113.0,280.0
1,58,5,753.0,180.0
1,31,5,825.0,100.0
1,28,5,232.0,100.0
1,25,5,733.0,100.0
2,24,5,512.0,150.0
2,39,5,511.0,74.0
1,38,7,183.0,140.0
2,32,5,754.0,40.0
1,44,3,713.0,100.0
2,39,4,753.0,75.0
1,53,5,313.0,163.0
2,26,6,252.0,100.0
2,51,5,145.0,120.0
2,30,7,252.0,120.0
2,27,7,252.0,150.0
1,44,7,441.0,150.0
2,52,5,832.0,53.0
1,26,6,131.0,130.0
1,37,7,131.0,200.0
2,41,5,315.0,100.0
2,39,5,422.0,80.0
1,33,5,753.0,200.0
1,56,3,941.0,60.0
2,29,5,315.0,100.0
2,26,5,315.0,110.0
2,23,5,315.0,80.0
2,23,7,315.0,75.0
2,23,6,323.0,81.0
1,19,5,421.0,40.0
1,28,5,512.0,110.0
1,58,5,713.0,200.0
1,28,7,231.0,120.0
1,31,7,312.0,150.0
2,27,6,183.0,100.0
1,32,5,842.0,150.0
1,37,5,842.0,120.0
2,30,5,421.0,60.0
1,31,5,237.0,100.0
1,35,5,23.0,170.0
2,37,4,513.0,30.0
1,29,8,156.0,50.0
1,47,4,311.0,180.0
1,31,5,441.0,160.0
1,68,3,816.0,50.0
1,51,5,825.0,85.0
1,53,7,912.0,60.0
2,51,5,512.0,95.0
2,45,5,311.0,80.0
1,34,7,120.0,280.0
2,32,7,220.0,150.0
1,51,7,132.0,200.0
2,29,5,311.0,60.0
1,41,5,713.0,200.0
1,31,7,220.0,105.0
1,39,5,712.0,153.0
2,38,4,826.0,45.0
1,38,5,312.0,130.0
1,40,5,316.0,140.0
2,43,4,753.0,80.0
1,29,7,311.0,70.0
2,58,2,911.0,50.0
2,26,7,251.0,90.0
1,43,4,421.0,160.0
1,23,5,753.0,75.0
2,20,5,311.0,76.0
1,30,7,262.0,200.0
1,31,7,182.0,170.0
1,37,6,441.0,150.0
1,42,5,713.0,320.0
2,40,4,832.0,55.0
2,34,5,930.0,20.0
2,55,3,411.0,20.0
2,41,4,753.0,20.0
2,23,5,162.0,60.0
1,60,5,912.0,50.0
1,49,5,415.0,150.0
1,24,5,311.0,80.0
1,32,8,132.0,200.0
1,56,4,712.0,35.0
1,45,5,712.0,120.0
2,41,3,911.0,64.0
2,42,7,513.0,50.0
2,37,7,145.0,95.0
2,48,3,421.0,70.0
2,22,5,315.0,85.0
1,43,4,753.0,70.0
2,20,5,315.0,100.0
2,25,5,512.0,85.0
2,30,5,315.0,80.0
2,29,4,183.0,90.0
1,39,4,941.0,50.0
2,60,3,911.0,48.0
1,49,7,711.0,290.0
1,57,5,941.0,80.0
1,43,5,842.0,108.0
2,38,4,411.0,30.0
1,37,5,311.0,120.0
1,26,5,235.0,49.0
1,37,3,713.0,148.0
1,35,3,713.0,120.0
1,31,5,843.0,100.0
2,49,4,941.0,89.0
2,23,5,311.0,50.0
1,44,5,318.0,160.0
2,39,3,825.0,80.0
1,30,7,312.0,110.0
2,23,5,315.0,60.0
2,25,7,183.0,140.0
1,25,7,120.0,120.0
1,30,7,316.0,110.0
2,34,7,141.0,240.0
1,31,7,311.0,134.0
2,30,7,182.0,100.0
2,45,4,513.0,200.0
2,19,5,315.0,43.0
2,38,6,512.0,138.0
1,44,7,231.0,300.0
1,30,7,263.0,120.0
1,37,7,315.0,300.0
1,55,4,313.0,150.0
1,27,5,312.0,100.0
2,46,4,513.0,125.0
1,23,6,315.0,80.0
1,31,7,316.0,160.0
1,29,6,942.0,100.0
2,25,7,141.0,100.0
2,24,7,315.0,100.0
1,27,6,220.0,100.0
1,30,5,441.0,160.0
1,48,3,733.0,50.0
1,35,6,262.0,200.0
1,47,6,135.0,170.0
2,40,5,826.0,130.0
1,28,7,714.0,250.0
