p080101,p080107,p080110,p080350,p081642
1,54,5,412.0,70.0
2,51,5,911.0,55.0
2,26,6,317.0,70.0
1,35,7,120.0,320.0
2,31,6,143.0,180.0
2,35,8,152.0,250.0
1,48,3,911.0,60.0
2,56,4,911.0,100.0
2,29,7,314.0,150.0
2,24,6,143.0,200.0
1,35,7,314.0,230.0
1,35,5,313.0,220.0
1,26,6,120.0,100.0
1,60,3,941.0,40.0
2,55,3,911.0,40.0
2,33,7,315.0,150.0
1,28,5,913.0,120.0
1,43,4,753.0,150.0
2,47,5,753.0,100.0
2,32,5,422.0,70.0
1,38,5,511.0,150.0
1,77,3,914.0,12.0
1,33,5,833.0,150.0
1,49,5,941.0,80.0
2,42,4,753.0,120.0
1,29,4,913.0,150.0
1,49,7,315.0,700.0
1,66,4,912.0,70.0
1,34,4,281.0,100.0
1,26,6,511.0,100.0
1,44,3,753.0,80.0
2,41,3,753.0,80.0
2,21,5,512.0,90.0
1,37,7,-1.0,250.0
2,45,5,512.0,80.0
1,33,7,314.0,300.0
2,26,7,314.0,150.0
2,23,6,422.0,48.0
1,37,5,911.0,140.0
1,56,7,713.0,100.0
2,52,5,521.0,60.0
1,68,4,912.0,70.0
2,69,3,911.0,62.0
2,40,6,262.0,150.0
2,36,5,422.0,150.0
1,37,5,-1.0,180.0
2,41,5,615.0,80.0
2,29,6,143.0,90.0
2,24,6,312.0,140.0
1,31,7,315.0,258.0
2,25,7,143.0,210.0
2,54,4,911.0,45.0
1,28,6,522.0,110.0
1,34,5,721.0,180.0
2,34,5,751.0,8.0
2,32,5,512.0,130.0
2,38,5,753.0,80.0
1,39,7,314.0,150.0
1,56,7,23.0,600.0
1,28,8,141.0,240.0
1,27,7,312.0,235.0
1,33,7,314.0,180.0
2,27,8,183.0,150.0
1,66,4,912.0,70.0
1,31,5,512.0,120.0
2,40,4,743.0,120.0
1,46,4,714.0,150.0
2,45,4,421.0,65.0
1,30,7,237.0,167.0
1,28,7,182.0,230.0
2,23,6,271.0,120.0
1,54,5,842.0,120.0
2,46,4,421.0,110.0
1,63,4,714.0,150.0
1,20,6,511.0,28.0
2,46,3,422.0,110.0
1,47,8,152.0,300.0
2,44,6,143.0,130.0
1,51,8,173.0,250.0
2,33,7,312.0,350.0
1,59,4,930.0,80.0
2,54,3,911.0,50.0
1,33,7,316.0,380.0
2,19,5,511.0,80.0
1,44,7,173.0,200.0
2,66,3,911.0,50.0
1,37,5,422.0,150.0
2,20,5,315.0,200.0
2,31,7,316.0,150.0
2,25,7,252.0,130.0
2,38,9,141.0,700.0
1,39,6,183.0,253.0
1,53,3,712.0,180.0
2,53,4,411.0,60.0
2,49,4,911.0,50.0
1,53,4,712.0,150.0
2,25,7,315.0,200.0
2,35,5,323.0,100.0
2,50,3,843.0,90.0
2,29,7,315.0,150.0
1,50,4,842.0,80.0
2,26,7,317.0,108.0
2,21,5,315.0,133.0
1,59,3,415.0,105.0
2,35,7,317.0,120.0
1,26,7,120.0,250.0
1,36,7,315.0,394.0
1,33,7,183.0,267.0
2,33,7,315.0,274.0
2,56,2,911.0,130.0
1,33,6,832.0,170.0
1,35,8,311.0,220.0
2,28,5,315.0,290.0
1,35,5,316.0,218.0
2,62,3,512.0,100.0
2,39,5,422.0,40.0
1,51,5,731.0,166.0
1,26,5,733.0,200.0
2,48,5,911.0,140.0
2,30,7,153.0,180.0
1,37,7,313.0,280.0
2,41,6,241.0,90.0
2,60,2,911.0,60.0
1,37,5,316.0,100.0
2,35,7,183.0,125.0
2,56,5,411.0,40.0
2,29,6,183.0,236.0
1,52,5,261.0,800.0
1,25,6,263.0,130.0
1,56,7,261.0,200.0
1,26,7,132.0,170.0
2,46,5,262.0,100.0
2,23,5,412.0,150.0
1,49,5,262.0,300.0
2,39,5,261.0,100.0
1,39,5,511.0,228.0
1,56,4,842.0,80.0
2,42,5,512.0,100.0
1,39,5,941.0,125.0
1,42,3,911.0,190.0
1,39,3,753.0,110.0
2,22,6,512.0,90.0
1,34,8,152.0,240.0
2,56,3,911.0,50.0
1,57,4,914.0,147.0
1,39,5,842.0,200.0
1,51,7,152.0,395.0
1,53,5,912.0,113.0
2,24,7,742.0,30.0
2,43,5,914.0,24.0
1,60,7,842.0,83.0
1,35,7,530.0,130.0
1,39,5,712.0,400.0
1,29,5,713.0,200.0
1,60,3,941.0,150.0
2,55,3,930.0,53.0
1,29,6,421.0,130.0
2,26,7,156.0,130.0
1,47,3,941.0,100.0
2,24,5,512.0,90.0
1,54,5,913.0,100.0
2,26,6,315.0,190.0
2,22,6,315.0,160.0
1,39,7,120.0,520.0
1,56,5,842.0,180.0
1,27,7,132.0,150.0
1,42,7,441.0,246.0
2,40,6,143.0,70.0
2,50,4,421.0,60.0
1,63,3,712.0,120.0
1,37,4,235.0,120.0
2,36,5,422.0,120.0
1,67,3,912.0,78.0
1,70,3,912.0,70.0
1,31,7,312.0,-1.0
1,39,7,312.0,375.0
2,35,7,311.0,225.0
1,52,8,132.0,380.0
1,66,5,314.0,100.0
1,25,6,422.0,88.0
2,45,5,422.0,120.0
1,60,3,912.0,80.0
2,58,3,914.0,55.0
1,31,5,812.0,280.0
1,41,5,753.0,200.0
2,36,5,315.0,145.0
1,43,5,941.0,75.0
2,37,4,753.0,75.0
1,51,7,712.0,100.0
2,44,4,753.0,100.0
1,40,7,263.0,300.0
2,40,5,262.0,192.0
1,34,7,311.0,200.0
1,27,6,183.0,150.0
1,33,7,261.0,236.0
2,45,4,512.0,80.0
2,20,5,512.0,70.0
1,38,7,513.0,200.0
1,63,4,912.0,65.0
1,52,6,733.0,475.0
2,24,5,271.0,80.0
1,28,7,316.0,200.0
1,31,7,220.0,310.0
1,54,4,712.0,150.0
2,46,4,930.0,100.0
2,22,7,512.0,30.0
1,37,6,132.0,270.0
1,48,4,262.0,200.0
2,44,4,930.0,70.0
1,44,7,733.0,270.0
2,40,5,930.0,10.0
2,25,6,321.0,38.0
1,67,5,912.0,80.0
1,43,4,721.0,142.0
2,42,3,753.0,80.0
2,23,6,311.0,95.0
2,55,4,421.0,87.0
2,28,7,432.0,128.0
1,59,3,714.0,100.0
2,30,6,311.0,120.0
1,41,4,713.0,200.0
1,30,8,135.0,200.0
2,28,6,512.0,100.0
1,64,5,912.0,85.0
2,55,3,714.0,66.0
1,32,6,422.0,180.0
2,27,6,512.0,150.0
1,34,7,315.0,230.0
1,46,7,316.0,255.0
2,40,7,323.0,100.0
1,41,7,315.0,375.0
1,26,7,252.0,146.0
1,24,7,282.0,25.0
2,62,3,911.0,125.0
1,35,5,314.0,320.0
1,32,7,156.0,400.0
1,35,6,315.0,330.0
2,35,5,315.0,137.0
1,49,4,741.0,150.0
2,49,4,911.0,80.0
1,24,6,413.0,110.0
1,40,5,316.0,170.0
1,46,4,712.0,240.0
2,45,7,315.0,100.0
2,68,3,911.0,50.0
1,48,4,941.0,72.0
2,42,3,743.0,50.0
2,46,4,821.0,30.0
1,30,5,733.0,160.0
1,56,3,721.0,118.0
2,50,3,911.0,100.0
1,38,5,312.0,320.0
2,40,5,512.0,100.0
1,35,5,441.0,240.0
2,34,5,521.0,100.0
1,45,5,311.0,150.0
2,42,5,753.0,80.0
2,48,4,930.0,140.0
