p060101,p060107,p060110,p060350,p061642
1,35,5,232.0,150.0
1,52,5,412.0,90.0
2,49,5,911.0,50.0
2,24,6,311.0,90.0
1,33,7,120.0,180.0
1,31,6,312.0,250.0
2,33,8,152.0,220.0
2,49,2,911.0,50.0
1,46,3,911.0,55.0
2,54,4,421.0,100.0
2,27,7,314.0,150.0
1,33,7,314.0,250.0
1,28,7,314.0,160.0
1,33,5,313.0,130.0
2,55,3,911.0,150.0
1,58,3,941.0,170.0
2,53,3,911.0,40.0
2,31,7,315.0,120.0
1,41,4,753.0,120.0
2,45,5,753.0,90.0
2,30,5,422.0,60.0
2,65,3,911.0,30.0
1,75,3,914.0,12.0
1,31,5,415.0,150.0
1,47,7,315.0,500.0
1,64,4,912.0,80.0
1,32,4,281.0,80.0
2,39,3,753.0,100.0
2,19,5,512.0,95.0
1,26,7,415.0,15.0
1,35,7,-1.0,250.0
2,43,5,512.0,80.0
1,31,7,314.0,270.0
2,24,5,314.0,110.0
1,35,5,911.0,140.0
1,42,5,23.0,280.0
1,35,6,262.0,200.0
2,39,5,615.0,150.0
2,27,6,143.0,90.0
2,22,6,312.0,80.0
2,54,5,282.0,130.0
2,31,7,143.0,250.0
1,29,7,315.0,250.0
1,37,7,152.0,160.0
1,54,7,23.0,700.0
1,26,7,141.0,200.0
1,58,5,314.0,130.0
2,52,5,512.0,100.0
2,26,7,512.0,100.0
1,64,4,912.0,80.0
2,26,5,322.0,85.0
2,38,4,743.0,140.0
1,44,4,714.0,150.0
1,28,7,237.0,150.0
2,21,6,271.0,120.0
1,52,5,842.0,120.0
2,44,4,421.0,80.0
1,61,4,822.0,180.0
1,45,4,825.0,200.0
2,44,3,422.0,110.0
1,45,8,152.0,300.0
2,42,6,143.0,130.0
1,49,8,173.0,250.0
2,47,8,151.0,70.0
2,19,7,252.0,60.0
1,34,7,311.0,300.0
1,31,7,316.0,230.0
1,42,7,113.0,170.0
2,64,3,911.0,25.0
2,18,5,315.0,90.0
2,36,9,141.0,600.0
1,37,6,183.0,170.0
2,21,5,311.0,145.0
1,51,4,712.0,180.0
2,48,4,911.0,50.0
2,23,7,315.0,148.0
2,33,5,512.0,75.0
1,61,2,911.0,80.0
2,48,3,911.0,55.0
2,27,7,315.0,193.0
2,26,6,252.0,170.0
1,48,4,842.0,70.0
1,57,3,415.0,100.0
2,33,7,317.0,80.0
1,34,7,315.0,300.0
1,31,7,183.0,280.0
2,27,6,317.0,158.0
2,31,7,315.0,250.0
1,56,5,941.0,100.0
2,50,4,913.0,120.0
2,54,2,911.0,120.0
1,33,8,323.0,160.0
1,33,5,316.0,195.0
2,60,3,512.0,150.0
2,37,5,422.0,40.0
1,49,5,731.0,130.0
2,47,5,826.0,85.0
1,24,5,733.0,220.0
1,40,4,741.0,200.0
2,37,5,321.0,80.0
1,45,5,941.0,190.0
2,46,5,911.0,100.0
2,28,7,153.0,160.0
1,34,8,292.0,350.0
2,33,7,143.0,180.0
2,30,5,512.0,170.0
1,35,7,313.0,243.0
2,58,2,911.0,55.0
1,35,5,24.0,200.0
2,33,7,183.0,150.0
1,56,5,313.0,290.0
2,29,8,156.0,125.0
2,27,6,415.0,60.0
2,27,6,183.0,185.0
1,50,5,261.0,570.0
1,54,7,261.0,180.0
1,47,5,262.0,200.0
2,22,7,421.0,17.0
1,37,5,511.0,200.0
2,40,5,512.0,90.0
1,68,3,911.0,70.0
1,40,3,911.0,110.0
1,37,3,753.0,70.0
2,20,6,512.0,75.0
1,32,8,152.0,200.0
2,52,4,421.0,100.0
2,24,5,422.0,100.0
2,54,3,911.0,110.0
1,28,7,733.0,100.0
1,55,4,914.0,150.0
2,25,5,183.0,80.0
1,37,5,842.0,170.0
1,49,7,152.0,310.0
2,47,5,411.0,60.0
2,25,7,315.0,120.0
2,22,7,512.0,80.0
1,43,5,415.0,48.0
2,41,5,914.0,30.0
1,58,7,842.0,100.0
1,37,5,712.0,350.0
1,27,5,713.0,100.0
1,58,3,941.0,150.0
1,27,6,421.0,100.0
2,24,7,156.0,100.0
1,45,3,941.0,112.0
2,22,5,512.0,75.0
1,52,5,913.0,100.0
2,24,6,315.0,130.0
2,20,6,315.0,150.0
1,37,7,120.0,380.0
1,54,5,842.0,150.0
1,40,7,441.0,215.0
2,38,6,143.0,86.0
2,24,7,183.0,150.0
1,61,3,712.0,140.0
1,35,4,235.0,104.0
1,25,5,512.0,130.0
2,23,5,220.0,135.0
1,49,3,913.0,120.0
2,50,3,930.0,80.0
2,60,3,513.0,50.0
1,65,3,912.0,80.0
1,32,7,315.0,190.0
2,56,3,321.0,48.0
1,36,5,842.0,120.0
1,68,3,912.0,68.0
1,37,7,312.0,300.0
2,33,7,311.0,170.0
1,50,8,132.0,620.0
1,64,5,314.0,100.0
2,43,5,422.0,120.0
