p160101,p160107,p160110,p160350,p161642
2,72,4,920.0,60.0
1,45,5,713.0,250.0
1,62,5,911.0,106.0
2,59,5,911.0,80.0
1,43,7,120.0,500.0
2,43,8,152.0,500.0
1,56,3,911.0,60.0
2,64,4,911.0,120.0
2,58,4,521.0,100.0
1,34,6,120.0,300.0
2,65,3,911.0,100.0
2,63,3,911.0,100.0
1,51,4,753.0,150.0
2,55,5,753.0,150.0
2,40,4,915.0,105.0
2,75,3,271.0,20.0
1,44,5,733.0,250.0
1,41,5,183.0,148.0
2,41,5,315.0,120.0
1,57,5,842.0,180.0
2,50,4,753.0,100.0
2,23,6,315.0,120.0
1,21,5,733.0,140.0
2,54,4,753.0,200.0
1,29,5,316.0,190.0
1,74,4,912.0,90.0
1,42,4,415.0,150.0
2,35,7,171.0,550.0
2,32,7,315.0,220.0
1,52,3,753.0,150.0
2,49,3,753.0,150.0
2,29,5,512.0,100.0
2,24,5,521.0,190.0
2,39,6,182.0,80.0
1,36,7,615.0,305.0
1,45,7,521.0,410.0
1,59,4,941.0,150.0
2,53,5,512.0,80.0
1,49,8,23.0,500.0
2,45,7,143.0,270.0
2,25,7,421.0,45.0
1,24,6,721.0,160.0
1,83,5,753.0,110.0
2,48,6,512.0,143.0
2,44,5,321.0,120.0
1,34,7,120.0,330.0
2,32,6,312.0,270.0
2,64,5,411.0,100.0
1,39,8,164.0,386.0
2,33,7,143.0,250.0
1,63,3,842.0,140.0
1,36,7,120.0,220.0
2,42,5,411.0,126.0
2,42,5,511.0,60.0
2,46,5,911.0,43.0
1,35,8,312.0,450.0
2,31,6,154.0,240.0
1,68,5,314.0,120.0
2,36,7,511.0,160.0
1,33,7,282.0,200.0
2,35,8,183.0,220.0
2,69,3,911.0,71.0
1,39,5,262.0,150.0
1,36,8,133.0,400.0
1,34,7,827.0,180.0
2,19,5,422.0,24.0
1,53,5,262.0,200.0
2,24,5,422.0,130.0
1,38,7,135.0,340.0
1,36,8,165.0,290.0
1,62,5,912.0,130.0
2,54,4,421.0,100.0
2,67,3,920.0,100.0
1,44,5,713.0,300.0
2,29,7,512.0,130.0
1,55,8,152.0,400.0
1,59,8,173.0,500.0
2,62,3,911.0,100.0
2,37,7,156.0,150.0
2,66,3,411.0,60.0
1,41,7,316.0,800.0
1,57,5,753.0,200.0
2,56,5,753.0,130.0
2,27,5,315.0,135.0
1,52,7,173.0,200.0
2,74,3,911.0,80.0
2,33,7,753.0,210.0
1,63,4,842.0,190.0
2,57,4,911.0,70.0
1,29,5,831.0,160.0
2,41,6,513.0,380.0
1,61,4,712.0,300.0
2,43,5,512.0,180.0
2,58,3,911.0,100.0
2,34,7,311.0,210.0
1,67,3,415.0,130.0
2,38,6,241.0,120.0
2,57,5,911.0,120.0
2,30,7,313.0,150.0
1,34,8,120.0,470.0
1,66,5,930.0,150.0
2,60,4,913.0,80.0
2,35,7,315.0,220.0
2,52,5,411.0,160.0
2,24,7,172.0,140.0
1,43,9,151.0,330.0
2,36,5,321.0,550.0
2,70,3,512.0,60.0
1,48,5,829.0,150.0
2,47,5,421.0,110.0
2,23,7,252.0,20.0
1,59,5,842.0,150.0
1,55,5,941.0,300.0
2,56,5,512.0,120.0
1,28,6,731.0,200.0
1,45,7,313.0,350.0
2,43,7,183.0,200.0
1,47,7,262.0,300.0
2,45,6,143.0,200.0
1,66,5,920.0,120.0
2,39,8,252.0,200.0
2,34,6,241.0,160.0
1,34,7,132.0,350.0
2,54,5,741.0,110.0
2,32,6,311.0,350.0
2,31,5,412.0,170.0
1,30,7,312.0,200.0
2,26,6,512.0,150.0
2,24,6,143.0,200.0
2,47,5,930.0,100.0
1,64,4,912.0,120.0
2,59,4,911.0,60.0
2,34,6,282.0,200.0
2,47,4,421.0,130.0
2,57,4,753.0,220.0
2,31,7,156.0,200.0
2,42,5,741.0,120.0
2,54,3,753.0,50.0
1,50,5,713.0,80.0
1,50,3,753.0,130.0
2,50,4,911.0,120.0
2,20,7,422.0,60.0
1,23,6,415.0,70.0
2,28,6,323.0,120.0
1,42,8,262.0,200.0
1,47,5,311.0,185.0
2,55,6,412.0,320.0
1,61,5,912.0,130.0
1,47,5,712.0,300.0
2,45,5,411.0,60.0
1,34,5,713.0,250.0
2,47,5,313.0,60.0
1,68,3,941.0,100.0
2,34,6,315.0,250.0
2,30,6,315.0,190.0
2,29,7,312.0,300.0
2,40,7,156.0,200.0
1,35,7,132.0,360.0
2,25,7,412.0,180.0
2,49,5,315.0,150.0
2,58,4,911.0,120.0
1,29,6,512.0,150.0
1,47,4,713.0,230.0
2,55,4,422.0,120.0
