p250101,p250107,p250110,p250350,p251642
1,54,5,713.0,420.0
1,71,5,911.0,140.0
2,68,5,911.0,130.0
1,52,7,120.0,500.0
1,65,3,911.0,170.0
1,35,7,421.0,250.0
2,46,7,271.0,290.0
1,52,7,511.0,320.0
2,72,3,911.0,160.0
2,50,7,315.0,310.0
2,47,7,315.0,260.0
1,66,5,842.0,220.0
2,59,4,753.0,200.0
2,32,6,120.0,200.0
2,34,4,827.0,215.0
1,51,4,422.0,200.0
1,71,5,30.0,250.0
1,61,3,753.0,150.0
2,33,5,521.0,220.0
1,45,7,316.0,550.0
2,62,5,512.0,120.0
2,27,7,154.0,250.0
2,66,7,421.0,220.0
2,45,7,172.0,200.0
2,34,8,156.0,190.0
1,72,8,912.0,200.0
1,33,6,812.0,230.0
2,30,7,183.0,800.0
1,92,5,753.0,70.0
1,31,6,831.0,360.0
2,26,7,313.0,195.0
1,54,6,842.0,100.0
1,43,7,120.0,608.0
2,58,5,512.0,200.0
2,41,6,312.0,350.0
2,73,5,411.0,100.0
2,42,7,143.0,300.0
1,72,3,842.0,120.0
1,45,7,120.0,200.0
2,51,5,411.0,200.0
1,23,7,282.0,200.0
2,51,5,512.0,200.0
2,55,5,422.0,100.0
1,44,9,131.0,630.0
2,40,6,154.0,400.0
1,50,7,23.0,400.0
2,44,8,183.0,250.0
2,42,8,156.0,78.0
1,45,9,133.0,480.0
1,62,5,262.0,200.0
1,62,4,322.0,240.0
2,57,4,753.0,250.0
1,31,6,511.0,230.0
1,75,5,911.0,100.0
1,45,8,165.0,530.0
1,43,6,512.0,400.0
2,31,8,312.0,250.0
2,30,7,293.0,260.0
1,38,5,512.0,270.0
2,63,4,421.0,270.0
1,53,5,713.0,470.0
2,63,3,911.0,280.0
1,36,6,120.0,530.0
1,68,8,842.0,97.0
2,46,7,156.0,190.0
1,50,7,316.0,920.0
1,66,5,753.0,250.0
2,37,9,151.0,50.0
1,61,7,173.0,370.0
2,42,7,314.0,400.0
1,63,5,915.0,70.0
1,31,7,312.0,300.0
2,30,5,311.0,230.0
1,72,4,842.0,270.0
1,40,6,913.0,200.0
1,38,5,911.0,190.0
2,50,6,261.0,530.0
1,55,6,842.0,540.0
1,41,7,237.0,370.0
1,55,5,316.0,400.0
2,52,5,512.0,200.0
1,21,7,252.0,60.0
2,67,4,911.0,300.0
2,43,7,311.0,400.0
2,47,6,241.0,200.0
2,39,7,313.0,350.0
1,40,5,522.0,250.0
2,61,5,411.0,280.0
2,33,7,172.0,300.0
2,31,6,311.0,320.0
1,50,6,913.0,300.0
1,52,9,151.0,416.0
2,45,5,321.0,680.0
1,68,5,842.0,350.0
2,38,7,182.0,350.0
2,53,7,512.0,200.0
1,64,5,941.0,360.0
1,37,6,731.0,330.0
1,33,7,313.0,738.0
1,54,7,313.0,600.0
2,52,7,183.0,210.0
2,23,6,183.0,240.0
1,56,7,262.0,440.0
2,23,7,143.0,300.0
2,48,8,252.0,218.0
1,43,7,132.0,380.0
1,41,7,237.0,300.0
1,39,7,312.0,500.0
1,54,7,23.0,500.0
2,33,6,143.0,300.0
2,56,5,512.0,80.0
1,56,5,913.0,200.0
2,56,4,421.0,250.0
2,31,6,323.0,300.0
1,34,7,120.0,235.0
1,27,6,120.0,235.0
2,66,4,753.0,100.0
1,42,9,132.0,600.0
2,51,5,832.0,180.0
1,68,3,842.0,130.0
2,62,3,411.0,120.0
1,67,4,823.0,300.0
1,51,8,511.0,400.0
2,32,7,314.0,420.0
2,22,6,317.0,190.0
1,36,7,132.0,550.0
1,46,5,262.0,600.0
1,56,5,712.0,220.0
2,54,5,421.0,195.0
2,20,6,412.0,190.0
1,43,5,713.0,370.0
2,56,5,313.0,120.0
1,64,3,911.0,312.0
2,43,6,312.0,400.0
2,39,6,315.0,200.0
2,38,7,312.0,400.0
1,56,7,312.0,400.0
2,53,7,252.0,300.0
2,42,7,314.0,200.0
1,44,7,132.0,450.0
2,34,7,262.0,250.0
2,58,5,317.0,200.0
2,27,7,220.0,230.0
2,67,4,911.0,120.0
1,42,7,120.0,600.0
1,38,6,913.0,200.0
1,56,4,713.0,350.0
2,53,4,411.0,250.0
2,64,4,930.0,60.0
1,41,6,511.0,260.0
1,69,5,912.0,180.0
1,44,5,842.0,270.0
