p220101,p220107,p220110,p220350,p221642
1,51,5,713.0,350.0
1,68,5,911.0,150.0
2,65,5,911.0,110.0
1,49,7,120.0,500.0
2,84,3,914.0,27.0
2,49,8,152.0,450.0
1,62,3,911.0,150.0
2,70,4,911.0,150.0
2,43,7,271.0,180.0
1,49,5,313.0,460.0
2,64,4,521.0,77.0
2,69,3,911.0,150.0
2,47,7,315.0,300.0
2,44,7,315.0,200.0
2,46,4,915.0,130.0
1,19,7,282.0,80.0
2,81,3,271.0,27.0
1,63,5,842.0,200.0
2,56,4,753.0,200.0
2,29,6,120.0,180.0
1,27,5,311.0,220.0
2,60,4,753.0,200.0
1,35,5,733.0,200.0
1,48,4,262.0,210.0
1,68,5,30.0,300.0
1,58,3,753.0,150.0
2,30,5,521.0,180.0
1,42,7,316.0,480.0
2,59,5,512.0,120.0
1,47,7,261.0,500.0
2,51,7,143.0,300.0
2,63,7,421.0,200.0
2,31,8,156.0,170.0
2,27,7,183.0,150.0
1,64,6,911.0,30.0
1,89,5,753.0,120.0
2,54,6,512.0,190.0
2,50,5,422.0,150.0
1,40,7,120.0,500.0
2,38,6,312.0,320.0
2,70,5,411.0,100.0
1,69,3,842.0,120.0
1,42,7,120.0,200.0
2,48,5,411.0,170.0
1,20,7,282.0,30.0
2,48,5,321.0,150.0
2,52,5,422.0,100.0
1,41,9,131.0,630.0
2,37,6,154.0,280.0
2,42,7,512.0,220.0
1,47,7,316.0,335.0
2,41,8,183.0,250.0
1,80,4,911.0,96.0
2,42,5,321.0,50.0
1,42,8,133.0,500.0
1,40,7,941.0,210.0
2,25,5,315.0,200.0
1,59,5,262.0,300.0
1,59,4,322.0,230.0
2,30,5,235.0,100.0
1,28,6,511.0,230.0
1,72,5,911.0,80.0
1,44,7,135.0,500.0
1,42,8,165.0,400.0
1,40,6,512.0,300.0
2,28,8,311.0,220.0
2,27,7,293.0,250.0
1,62,5,712.0,250.0
1,68,5,912.0,120.0
1,35,5,512.0,200.0
2,60,4,421.0,200.0
1,50,5,713.0,250.0
1,33,6,120.0,290.0
2,68,3,911.0,100.0
1,47,7,316.0,990.0
1,63,5,753.0,210.0
2,62,5,911.0,100.0
1,29,7,318.0,175.0
2,34,9,151.0,50.0
1,31,7,142.0,475.0
1,58,7,173.0,350.0
2,80,3,911.0,70.0
1,77,5,912.0,150.0
2,39,7,314.0,280.0
1,31,7,120.0,250.0
2,30,6,422.0,50.0
1,69,4,842.0,220.0
1,37,6,913.0,200.0
1,35,5,911.0,150.0
2,47,6,261.0,680.0
1,52,6,842.0,480.0
1,38,7,237.0,300.0
1,52,5,262.0,100.0
2,49,5,512.0,200.0
2,64,4,911.0,150.0
2,40,7,311.0,280.0
2,44,6,241.0,200.0
2,63,5,911.0,150.0
2,36,7,313.0,250.0
1,40,8,120.0,520.0
1,72,5,930.0,250.0
2,66,4,913.0,250.0
2,58,5,411.0,220.0
2,30,7,172.0,300.0
2,28,6,311.0,300.0
1,47,6,913.0,250.0
1,49,9,151.0,300.0
2,42,5,321.0,500.0
1,65,5,842.0,300.0
2,35,7,182.0,250.0
2,50,7,321.0,200.0
1,61,5,941.0,400.0
2,62,5,512.0,48.0
1,34,6,731.0,300.0
1,51,7,313.0,500.0
2,49,7,183.0,150.0
2,20,6,512.0,48.0
1,53,7,262.0,375.0
2,51,6,143.0,310.0
1,72,5,941.0,200.0
2,45,8,252.0,100.0
2,43,6,182.0,250.0
2,40,6,241.0,270.0
1,40,7,132.0,380.0
1,36,7,312.0,458.0
1,51,7,23.0,400.0
2,61,5,411.0,50.0
2,53,5,751.0,180.0
2,22,6,242.0,190.0
2,53,4,421.0,200.0
2,28,6,323.0,220.0
2,25,7,322.0,230.0
2,56,5,512.0,150.0
1,31,7,120.0,200.0
2,63,4,753.0,210.0
1,39,9,132.0,700.0
2,37,7,415.0,40.0
2,48,5,832.0,180.0
2,59,3,411.0,100.0
1,64,4,823.0,130.0
1,48,8,511.0,300.0
1,61,5,913.0,150.0
2,29,7,165.0,280.0
1,53,5,842.0,300.0
2,19,6,422.0,40.0
2,61,6,411.0,270.0
1,33,7,132.0,350.0
2,30,8,141.0,500.0
1,43,5,262.0,500.0
1,53,5,712.0,400.0
2,51,5,411.0,110.0
1,40,5,713.0,370.0
2,53,5,313.0,100.0
1,61,3,712.0,210.0
2,40,6,312.0,250.0
2,36,6,315.0,200.0
