p100101,p100107,p100110,p100350,p101642
2,66,4,920.0,12.0
1,39,5,713.0,250.0
1,56,5,412.0,80.0
2,53,5,911.0,55.0
2,28,6,317.0,100.0
1,37,7,120.0,334.0
1,35,6,315.0,315.0
2,37,8,152.0,243.0
2,53,2,911.0,40.0
1,50,3,911.0,70.0
2,31,7,314.0,183.0
1,37,7,262.0,237.0
1,37,5,313.0,200.0
2,52,4,521.0,70.0
1,28,6,120.0,245.0
1,62,3,941.0,40.0
2,57,3,911.0,40.0
2,35,7,315.0,120.0
1,45,4,753.0,150.0
2,49,5,753.0,120.0
2,34,4,915.0,80.0
1,40,5,511.0,170.0
1,79,3,914.0,9.0
1,34,5,522.0,150.0
1,35,5,833.0,160.0
1,51,5,842.0,140.0
2,48,4,753.0,100.0
1,23,5,444.0,110.0
1,31,4,913.0,150.0
1,69,5,912.0,70.0
1,68,4,912.0,70.0
1,36,4,281.0,150.0
2,26,7,315.0,119.0
1,46,3,753.0,150.0
2,43,3,753.0,150.0
2,23,5,512.0,130.0
1,30,7,615.0,190.0
1,39,7,521.0,300.0
1,53,4,512.0,150.0
2,47,5,512.0,150.0
1,35,7,314.0,198.0
1,43,8,120.0,480.0
2,39,7,143.0,180.0
2,28,7,314.0,180.0
1,18,6,422.0,115.0
1,52,6,914.0,72.0
2,38,7,182.0,430.0
1,46,5,713.0,90.0
2,54,5,513.0,70.0
2,38,5,422.0,70.0
1,28,7,120.0,250.0
2,26,6,312.0,130.0
2,27,7,143.0,200.0
1,57,3,913.0,150.0
1,30,6,522.0,150.0
1,36,5,721.0,200.0
2,36,5,920.0,7.0
1,41,7,314.0,190.0
1,58,7,23.0,600.0
1,35,7,237.0,213.0
2,29,8,183.0,190.0
1,68,4,912.0,75.0
1,33,5,262.0,120.0
1,30,8,112.0,200.0
1,47,5,321.0,200.0
2,42,4,753.0,170.0
2,47,4,421.0,70.0
1,32,7,237.0,193.0
1,30,8,311.0,170.0
2,25,7,271.0,140.0
1,28,6,712.0,150.0
1,56,5,842.0,120.0
2,48,4,421.0,100.0
1,65,4,714.0,200.0
2,48,3,422.0,120.0
2,23,7,317.0,90.0
1,49,8,152.0,400.0
2,46,6,143.0,140.0
1,53,8,173.0,216.0
2,56,3,911.0,50.0
1,33,5,311.0,150.0
1,29,7,292.0,200.0
1,35,7,316.0,474.0
2,21,5,323.0,130.0
1,46,7,173.0,200.0
2,68,3,911.0,80.0
2,20,5,315.0,90.0
1,55,3,712.0,180.0
2,55,4,411.0,70.0
2,51,4,911.0,75.0
2,25,6,312.0,187.0
1,55,4,712.0,250.0
1,26,7,237.0,100.0
1,40,5,262.0,150.0
2,52,3,843.0,97.0
1,52,4,842.0,119.0
2,28,7,311.0,90.0
1,30,7,262.0,119.0
2,23,5,315.0,80.0
1,26,5,411.0,100.0
1,61,3,415.0,90.0
2,37,7,317.0,130.0
2,50,5,321.0,120.0
1,28,8,120.0,387.0
