p020101,p020107,p020110,p020350,p021642
2,58,4,911.0,65.0
1,31,5,232.0,98.0
1,48,5,311.0,145.0
2,37,5,311.0,240.0
1,29,7,120.0,178.0
2,25,6,143.0,130.0
2,32,8,151.0,50.0
1,28,7,132.0,155.0
1,27,6,311.0,98.0
2,29,8,152.0,100.0
2,27,7,262.0,99.0
2,45,2,911.0,50.0
1,42,3,941.0,58.0
2,50,4,422.0,60.0
2,23,7,311.0,80.0
2,26,8,252.0,30.0
1,29,5,313.0,128.0
1,27,5,512.0,125.0
2,44,4,415.0,50.0
1,54,3,941.0,60.0
2,27,7,315.0,60.0
2,24,7,183.0,50.0
1,71,3,914.0,35.0
1,60,4,941.0,45.0
1,23,4,913.0,100.0
1,43,7,315.0,300.0
2,40,5,315.0,80.0
1,34,6,512.0,200.0
2,35,3,753.0,150.0
2,25,6,182.0,50.0
1,31,7,-1.0,250.0
2,39,5,512.0,120.0
1,35,7,261.0,250.0
1,27,7,314.0,84.0
1,35,8,165.0,160.0
2,31,7,143.0,100.0
2,43,7,422.0,90.0
2,22,7,323.0,44.0
2,20,5,314.0,80.0
1,31,5,911.0,90.0
2,40,7,152.0,150.0
1,40,5,262.0,170.0
1,69,5,753.0,80.0
2,63,3,911.0,45.0
2,30,5,315.0,80.0
1,31,5,-1.0,100.0
2,26,5,143.0,80.0
1,64,4,842.0,120.0
2,23,6,241.0,58.0
1,55,5,311.0,100.0
2,27,7,143.0,100.0
1,22,6,-1.0,60.0
1,43,5,714.0,110.0
1,50,7,23.0,300.0
1,54,5,314.0,148.0
2,48,5,512.0,89.0
2,22,5,322.0,85.0
2,34,4,743.0,80.0
1,40,4,714.0,100.0
1,48,5,842.0,100.0
1,57,4,822.0,100.0
2,53,3,422.0,80.0
1,27,5,512.0,100.0
1,41,4,825.0,130.0
2,40,3,422.0,90.0
2,44,5,513.0,50.0
1,45,8,173.0,180.0
2,43,8,151.0,100.0
2,26,8,262.0,120.0
2,27,7,183.0,150.0
1,30,7,-1.0,140.0
1,53,4,721.0,130.0
1,25,5,731.0,50.0
1,26,8,120.0,100.0
1,31,5,842.0,100.0
2,39,4,911.0,90.0
2,25,6,315.0,100.0
1,43,7,183.0,150.0
1,44,5,316.0,100.0
2,32,7,141.0,200.0
1,41,5,183.0,170.0
1,47,3,712.0,80.0
2,24,5,412.0,100.0
2,38,3,753.0,80.0
2,27,6,311.0,60.0
1,47,4,712.0,120.0
1,57,2,611.0,50.0
1,44,4,842.0,80.0
1,53,3,914.0,44.0
2,29,7,317.0,150.0
2,42,5,321.0,100.0
1,30,7,315.0,140.0
2,23,6,317.0,80.0
1,40,5,712.0,120.0
1,26,4,312.0,110.0
2,20,5,315.0,70.0
1,29,6,311.0,100.0
1,29,7,312.0,125.0
2,22,5,321.0,80.0
2,43,5,826.0,50.0
1,36,4,741.0,100.0
1,27,7,220.0,103.0
2,24,7,153.0,100.0
1,30,8,292.0,200.0
1,31,7,313.0,110.0
1,58,3,914.0,35.0
1,31,5,311.0,150.0
2,29,5,183.0,80.0
