code,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
821,,,,,,,,,,,,,33.33,-1.50,0.00,1.52,0.00,-25.00,-10.00,47.41,45.73,,,,
821,,,,,,,,,,,,,,,,,,,,,-16.67,6.67,,,
821,,,,,,,,,,,,,,,3.33,3.23,12.50,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,2.33,0.00,,,
821,,,,,,,,,,,,,,,,,,,,,,,-9.09,,
821,,,,,,,,,,,,,,,2.86,5.56,26.32,,,,,,,,
821,,,,,,,,,,,,,,,,20.00,,,,,,,,,
821,,,,,,,,,,,,,,,,,,33.33,-25.00,20.00,38.89,-28.00,-1.11,12.36,17.50
821,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,
821,,,,,,,,,,,,,,,,-35.00,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,-28.57,0.00,30.00,,,,,,,-4.26
821,,,,,,,,,,,,,,,,,,,,,,100.00,-25.00,,
821,,,,,,,,,,,,,,,,,,11.11,0.00,7.50,,,,,
821,,,,,,,,,,,,,,,,,,0.00,,,,,,,
821,,,,,,,,,,,,,,,,,,13.33,-11.76,0.00,,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,-7.69
821,,,,,,,,,,,,,,,,,,,0.00,,,,,,
821,,,,,,,,,,,,,,,,,,,,9.30,-20.21,,,,
821,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,0.00,117.39,20.00,,
821,,,,,,,,,,,,,,,,,,,,,13.33,,,,
821,,,,,,,,,,,,,,,,,,,,,25.00,35.00,,,
821,,,,,,,,,,,,,,,,,,,,,,11.11,10.00,-10.00,1.01
821,,,,,,,,,,,,,,,,,,,,,,-20.00,,,
821,,,,,,,,,,,,,,,,,,,,,,-23.08,,,
821,,,,,,,,,,,,,,,,,,,,,,15.00,,,
821,,,,,,,,,,,,,,,,,,,,,,,25.00,,
821,,,,,,,,,,,,,,,,,,,,,,,,0.00,16.00
821,,,,,,,,,,,,,,,,,,,,,,,,30.00,
821,,,,,,,,,,,,,,,,,,,,,,,,,45.00
753,,,,,,,20.00,,,,,,,,,,,,,,,,,,
753,87.50,-70.00,233.33,-20.00,-16.67,-10.00,-11.11,25.00,50.00,0.00,0.00,0.00,0.00,-16.67,20.00,0.00,,,,,,,,,
753,-20.00,,,,,,,,,,-60.00,66.67,5.00,4.76,0.00,9.09,0.00,0.00,0.00,0.00,0.00,14.17,0.00,-48.91,7.14
753,60.00,,,,,,,,,,,,,,,,,,,,,0.00,0.00,20.00,
753,-12.50,14.29,0.00,,,,,,,,,,,,0.00,-76.92,0.00,,,,,,,,
753,-23.08,20.00,0.00,8.33,7.69,0.00,57.14,-45.45,16.67,,,,0.00,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,183.33,,,,,,,,,,,,,,,,,,,,,,,,
753,-80.00,0.00,,,100.00,,,,,,,,,,,,,,,,,,,,
753,-25.00,33.33,,,,,,,,,,,,,,,,,,,,,,,
753,-69.23,225.00,,,,,,,,,,,,,,,,,,,,,,,
753,-33.33,,,,,,,,,,,,,,,,,,,,,,,,
753,3.90,,,,,,,,,,,,,,,,,,,,,,,,
753,-16.67,13.33,,,,,,-14.53,,,,,,,,,,,,,,,,,
753,0.00,,,,,,,,,,,,,,,,,,,,,,,,
753,42.86,-10.00,11.11,,,,-33.00,19.40,25.00,0.00,-60.00,25.00,0.00,-40.00,66.67,0.00,100.00,0.00,,,,,,,
753,6.25,0.00,11.76,5.26,0.00,30.00,14.62,-42.95,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,11.11,10.00
753,42.86,20.00,25.00,-33.33,0.00,-30.00,85.71,,,,,,,,,,,,,,,,,,
753,-33.33,,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,0.00,40.00,7.14,66.67,-8.00,0.00,-2.17,2.22,13.04,0.00,7.69,0.00,7.14,-6.67,7.14,0.00,-50.00,,,,,,,,
753,43.75,4.35,,,,,,,,,,,,,,,,,,,,,,,
753,0.00,10.00,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,50.00,,,,,,,,,,,,,,,,,,,,
753,-50.00,-33.33,350.00,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,11.76,5.26,-70.00,,,,,,,,,,,,,,,,,,,,,,
753,-45.45,,,,,,,,,,,,,,,,,,,,,,,,
753,400.00,20.00,,,,,,,,,,,,,,,,,,,,,,,
753,16.67,-17.14,-5.17,9.09,-16.67,,,,,,,,,,,,,,,,,,-71.43,,
753,,,,16.67,,,,,,,,,,,,,,,,,,,,,
753,,33.33,,,,,,,,,,,,,,,,,,,,,,,
753,,-33.33,,,,,,,,,,,,,,,,,,,-37.50,,,0.00,-6.67
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,,0.00,20.00,16.67,,,,,,,,,,,,,,,,,,,,,
753,,0.00,40.00,14.29,,,,,,,,,,,,,,,,,,,,,
753,,42.86,,,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,30.00,,,0.00,,,,,,10.09,-16.67,30.00,,,-13.17,3.45,,
753,,-7.41,,,,,,,,,,10.00,18.18,7.69,,,,,,,,,,,
753,,,,,0.00,-2.00,12.24,,,,,0.00,0.00,,,0.00,20.00,,,,,,,,
753,,11.11,,,,,,,0.00,0.00,33.33,,,,,,,,,,,,,,
753,,0.00,0.00,0.00,,,,,,,,,,,0.68,0.67,0.00,0.00,,,,,,,
753,,20.00,4.17,-4.00,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,,-8.33,-9.09,22.00,-1.64,23.33,-5.41,14.29,0.00,25.00,0.00,20.00,-16.67,10.00,-9.09,27.00,1.57,-14.73,13.64,-20.00,0.00,0.00,0.00,20.00,25.00
753,,0.00,,,,,,,,,,,,,,,,,,,,,,,
753,,-7.14,-21.54,39.22,19.72,,,,,,,,,,,,,,,,,,,,
753,,,100.00,0.00,-20.00,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,-0.63,1.27,-6.25,0.00,,,,,,,-66.67,,,,,
753,,,12.50,0.00,5.56,-7.37,25.00,-27.27,12.50,0.00,0.00,11.11,10.00,,,,,,,,,,,,
753,,,300.00,0.00,,,,,-9.09,0.00,0.00,0.00,20.00,0.00,-58.33,,,,,,,,,,
753,,,0.00,,,,,,,,,,,,0.00,0.00,,,,,,,,,
753,,,-18.57,-12.28,40.00,,,,,,,,,,,,,,,,,,,,
753,,,5.00,,,,,,,,,,,,,,,,,,,,,,
753,,,6.67,,,,,,,,,,,,,,,,,,,,,,
753,,,9.09,-5.00,,,,,,,,,,,,,,,,,,,,,
753,,,,33.33,-40.00,-16.67,50.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,-25.00,,,0.00,25.00,20.00,,,-37.50,,
753,,,,20.00,,,,,,,,,,,,,,,,,,,,,
753,,,,25.00,,,,,,,,,,,,,,,,,,,,,
753,,,,0.00,50.00,0.00,,,,,,,,,,,,,,,,,,,
753,,,,-26.98,,,,,,,,,,,,,,,,,,,,,
753,,,,-19.35,-20.00,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,,,,,,,,,,,
753,,,,0.00,,,,,,,,,,,,,,,,,,,,,
753,,,,,,,,,0.00,26.92,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,,0.00,10.00,0.00,0.00,4.55,0.00,-8.70,-28.57,66.67,0.00,
753,,,,,14.29,,,,,,,,,,,,,,,,,,,,
753,,,,,-8.33,-9.09,0.00,50.00,-33.33,0.00,50.00,-33.33,0.00,0.00,0.00,,,,,,,,,,
753,,,,,,71.43,,,,,-6.67,,,,,,,,,,,,,,
753,,,,,,,-11.11,25.00,50.00,0.00,0.00,0.00,0.00,-16.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
753,,,,,,,33.33,,,,,,,,0.00,0.00,0.00,0.00,40.00,14.29,-25.00,16.67,0.00,28.57,11.11
753,,,,,,,,33.33,-10.00,-44.44,,,,,,,,,,,-33.33,,,,
753,,,,,,,,-4.76,,,,,,,,,,,,,,,,,
753,,,,,,,,,,,,,,30.00,0.00,-7.69,,,,,,,,,
753,,,,,,,,,35.00,-33.33,-22.22,85.71,15.38,-10.00,11.11,0.00,60.00,-37.50,0.00,53.33,,,,,
753,,,,,,,,,,,,,,,,,,,,-40.00,,,,,
753,,,,,,,,,,,-7.14,19.23,3.23,-6.25,16.67,2.86,-5.56,17.65,0.00,0.00,0.00,15.00,-4.35,17.27,-24.42
753,,,,,,,,,,,-24.14,9.09,,,,,,,,,,,,,
753,,,,,,,,,,,,-65.00,,,,,,,,,,,,,
753,,,,,,,,,,,,-0.83,0.00,,,,,,,,,,,,
753,,,,,,,,,,,,,25.00,30.00,,,,,,,,,,,
753,,,,,,,,,,,,,,,7.14,,,,,,,,,,
753,,,,,,,,,,,,,,,,0.00,0.00,66.67,0.00,0.00,40.00,-28.57,0.00,,
753,,,,,,,,,,,,,,,,,0.00,,,,,,,,
753,,,,,,,,,,,,,,,,,,114.29,0.00,0.00,0.00,-20.00,,,
753,,,,,,,,,,,,,,,,,,,53.33,-13.04,,,,,
753,,,,,,,,,,,,,,,,,,,,,-9.09,,,28.00,-25.00
753,,,,,,,,,,,,,,,,,,,,,-20.00,40.62,-46.67,33.33,56.25
753,,,,,,,,,,,,,,,,,,,,,15.38,0.00,0.00,,
753,,,,,,,,,,,,,,,,,,,,,,10.00,-9.09,0.00,20.00
753,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,-6.25,
753,,,,,,,,,,,,,,,,,,,,,,,,,85.19
913,0.00,20.00,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,
913,,,,46.00,2.74,-13.33,38.46,-5.56,41.18,,,,,,-8.26,,,,,,,,,,
913,,,0.00,0.00,20.00,,,,-33.33,-20.00,-25.00,33.33,-25.00,0.00,33.33,0.00,-25.00,33.33,-37.50,300.00,25.00,20.00,,,
913,-33.33,-16.67,,,,,,,,,,,,,,,,,,,,,,,
913,28.57,-22.22,14.29,25.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
913,42.86,,,0.00,20.00,-33.33,,,,-44.44,60.00,50.00,0.00,,,,,,,,,,,,
913,40.00,71.43,,,,,,,,,,,,,,,,,,,,,,,
913,-33.33,,,,,,,,,,,,,,,,,,,,,,,,
913,-9.09,,,,,,,,,,,,,,,,,,,,,,,,
913,20.00,-16.67,0.00,0.00,20.00,,,,,,,,,,,,,,,,,,,,
913,16.67,,,,,,,,,,,,,,,,,,,,-16.67,-10.00,44.44,-7.69,-16.67
913,0.00,-50.00,200.00,,,,,,,,20.00,,,,,,,,,,,,,,
913,50.00,-37.50,60.00,-16.67,50.00,,,,,,,,,,,,,,,,,,,,
913,20.00,8.33,,,,,,,,,,,,,,,,,,,,,,,
913,-7.69,,,,,,,,,,,,,,,,,,-60.00,150.00,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,0.00,,,,87.50,,,,,,,,,,,,,,,,,,,,
913,33.33,0.00,,,,,,,,,,,,,,,,,,,,,,,
913,-33.33,0.00,,,,,,,,,,,,,,,,,,,,,,,
913,25.00,13.33,5.88,-16.67,16.67,22.86,6.98,2.17,36.17,-21.88,20.00,-13.33,1.92,0.00,13.21,56.67,,,,,,,,,
913,-15.25,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,20.00,-8.33,9.09,33.33,,,,15.00,8.70,-20.00,0.00,25.00,,
913,0.00,0.00,20.00,,,,,,,,,,,,,,,,0.00,,,,,,
913,-20.00,50.00,,,,,,,,,,,,,,,,,,,,,,,
913,-16.67,90.00,,,,,-18.92,60.00,4.17,,,,,,,,,,,,,,,,
913,10.00,-22.73,38.24,19.15,-10.71,8.00,18.52,21.88,-23.08,20.33,-8.59,21.21,25.00,-74.00,15.38,,,,,,,,,,
913,,0.00,,,,,,,,,-43.75,,,,,,,,,-2.08,,,,,
913,,14.29,,,,,,,,,,61.29,-13.33,15.38,0.00,11.33,19.76,-2.50,-7.69,-8.33,-9.09,0.00,,,
913,,-8.33,18.18,-38.46,,,,,,,,,,,,,,,,,,,,,
913,,,,,,-61.61,120.93,45.26,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,133.33,14.29,25.00,0.00,-20.00,0.00,,,,,,,,,,,,,,,,,,
913,,-75.00,33.33,0.00,,,,,,,,,,,,,,,,-20.00,,,,,
913,,-7.69,-16.67,,,,,,,,,,,,,,,,,,,,,,
913,,0.00,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,33.33,,,38.89,-20.00,,,,,,,,,,,,,
913,,-66.67,,,,,,,,,,,,,,,,,,,,,,,
913,,-2.86,-26.47,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,31.11,10.17,38.46,,,,,,,,,,,,,,,,0.00,,,,
913,,,25.00,0.00,,,,,,,,,,,,-6.67,,,,,,,,,
913,,,25.00,20.00,-16.67,50.00,,,,,,,,,,,,,,,,,,,
913,,,-20.00,,,,,,,,,,,,,,,,,,,,,,
913,,,16.88,0.00,,,-35.48,25.00,33.00,9.02,,,,-33.33,-97.00,,,,,,,,,,
913,,,,,44.44,,,,,,,,,,,,,,,,,,,,
913,,,0.00,,,,,,,,,,,,,,,,,,,,,,
913,,,6.67,,,,,,,,,,,,,,,,,,,,,,
913,,,-46.67,,,,,,,,,,,,,,,,,,,,,,
913,,,-16.67,,,,,,,,,,,,,,,,,,0.00,130.00,0.00,4.35,0.00
913,,,-18.37,0.00,25.00,,,,,,,,,,,,,,,,,,,,
913,,,25.00,,,,,,,,,,,,,,,,,,,,,,
913,,,-20.00,-25.00,,,,,,,,,,,,,,,,,,,,,
913,,,25.00,0.00,0.00,0.00,50.00,,,466.67,-2.94,15.15,-10.53,2.94,7.43,17.02,12.73,,,,,,,,
913,,,71.43,-33.33,0.00,-25.00,,,,,,,,,,,,,,,,,,,
913,,,25.00,40.00,0.00,21.43,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,-16.67,,,,,,,,,,,,
913,,,,-11.11,25.00,20.00,8.33,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,-14.29,,,,,,,,
913,,,,-40.00,-3.33,20.69,0.00,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,4.17,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,25.00,,,,,,,-10.00,-11.11,0.00,,,,,,,,,,,,
913,,,,,-28.57,9.00,,,,,,,,,,,,,,,,,,,
913,,,,,20.00,0.00,,,,,,,,,,,,,,,,,,,
913,,,,,20.00,-8.33,8.18,-15.97,0.00,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,-11.11,,,,,,,,,,13.64,300.00
913,,,,,0.00,-6.00,,,,,,,,,,,,,,,,,,,
913,,,,,100.00,,,,,,,,,,,,,,,,,,12.00,,
913,,,,,-37.50,,,,,,,,,,,,,,,,,,,,-50.00
913,,,,,0.00,-46.67,25.00,-30.00,28.57,44.44,,,,6.06,,,,,,,,,,,
913,,,,,,,,,,,,,,5.71,8.11,-12.50,10.00,27.27,-18.37,,,,,,
913,,,,,,,,-46.15,,,,,,,,,,,,,,,,,
913,,,,,,,-4.29,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,0.00,0.00,-40.00,,,,,,,,,,,
913,,,,,,,22.22,18.18,-7.69,8.33,-42.31,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,-30.00,,,,,,,,,,
913,,,,,,,-23.08,,,,,,,,,,,,,,,,,,
913,,,,,,,15.38,33.33,,,0.00,,,,-15.79,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,0.00,,,,
913,,,,,,,,-25.00,20.00,,,,,,,,,,,,,,,,
913,,,,,,,,25.00,0.00,0.00,0.00,0.00,-33.33,0.00,,,,,,,,,,,
913,,,,,,,,-40.00,,,,,,,,,,,,,,,,,
913,,,,,,,,-30.00,,,,,,,60.00,,,,,,,,,,
913,,,,,,,,45.00,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,0.00,5.88,11.11,0.00,-10.00
913,,,,,,,,,0.00,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,120.00,27.27,7.14,33.33,-40.00,0.00,-16.67
913,,,,,,,,,6.67,21.88,-38.46,,,,,,,,,,,,,,
913,,,,,,,,,50.00,,,,,,,,,,,,,,,,
913,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,-20.00,,,,,,,-50.00,,,,,,,,
913,,,,,,,,,,6.67,-18.75,23.08,31.25,23.81,0.00,15.38,-50.00,66.67,,,,,,,
913,,,,,,,,,,,-7.00,,,,,,,,,,,,-40.00,166.67,
913,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,-35.00,0.00,,,,,,,,,,,,
913,,,,,,,,,,,,50.00,,,-20.00,0.00,25.00,,,,,,,,
913,,,,,,,,,,,,,,,,,50.00,0.00,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,100.00,,,,76.47,-16.67,,,,
913,,,,,,,,,,,,,,,,,,,,,4.23,33.78,,,
913,,,,,,,,,,,,,,,26.67,-31.58,-50.00,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,3.12,3.03,17.06,-13.57,,
913,,,,,,,,,,,,,,,7.14,-20.00,,,,,,,,,
913,,,,,,,,,,,,,,,-15.66,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,-59.46,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,0.00,,,,,,,
913,,,,,,,,,,,,,,,,,,-3.85,0.00,,,,,,
913,,,,,,,,,,,,,,,,,,,0.00,35.00,,,,,
913,,,,,,,,,,,,,,,,,,,0.00,35.00,-7.41,8.00,0.00,,
913,,,,,,,,,,,,,,,,,,,,,0.00,33.33,-25.00,0.00,
913,,,,,,,,,,,,,,,,,,,,,-10.00,0.00,48.15,0.00,0.00
913,,,,,,,,,,,,,,,,,,,,,11.11,0.00,0.00,-10.00,0.00
913,,,,,,,,,,,,,,,,,,,,,11.11,0.00,0.00,-10.00,0.00
913,,,,,,,,,,,,,,,,,,,,,0.00,10.00,0.00,4.55,8.70
913,,,,,,,,,,,,,,,,,,,,,0.00,,,,
913,,,,,,,,,,,,,,,,,,,,,15.00,-4.78,,,
913,,,,,,,,,,,,,,,,,,,,,4.17,0.00,20.00,0.00,0.00
913,,,,,,,,,,,,,,,,,,,,,0.00,,,,
913,,,,,,,,,,,,,,,,,,,,,0.00,,,,
913,,,,,,,,,,,,,,,,,,,,,-40.00,-16.67,,,
913,,,,,,,,,,,,,,,,,,,,,10.00,-9.09,,,0.00
913,,,,,,,,,,,,,,,,,,,,,11.11,,,,
913,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
913,,,,,,,,,,,,,,,,,,,,,,-20.00,,,
913,,,,,,,,,,,,,,,,,,,,,,35.00,,,
913,,,,,,,,,,,,,,,,,,,,,,,,,
913,,,,,,,,,,,,,,,,,,,,,,,0.00,-10.00,
913,,,,,,,,,,,,,,,,,,,,,,,,28.00,
913,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
913,,,,,,,,,,,,,,,,,,,,,,,,,0.00
913,,,,,,,,,,,,,,,,,,,,,,,,,-20.70
913,,,,,,,,,,,,,,,,,,,,,,,,,0.00
281,,,-20.00,0.00,0.00,-25.00,66.67,100.00,-25.00,,,,,,,,,,,,,,,,
281,,,12.50,11.11,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,0.00,-33.33,-20.00,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,-66.67,,,,-6.50,6.95,,,
281,,,,,,,,,,,,,,,,-8.00,,,,,,,,,
281,,,,,,,,,,,,,,,,40.00,-28.57,0.00,80.00,-22.22,-28.57,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,
281,,,,,,,,,,,,,,,,,,,,,,-28.00,0.00,35.56,14.75
322,0.00,,,53.85,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,0.00,,,,,,,,,,,,,,,,
322,,,,11.11,25.00,18.80,-2.02,9.97,3.44,7.25,-1.41,-8.57,50.00,-10.42,-35.35,,,,,,,,,,
322,-9.09,30.00,,,1.85,-9.09,0.00,20.00,8.33,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,-7.69,16.67,7.14,0.00,-13.33,,,,,,,,
322,53.85,-10.00,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,-5.88,-25.00,0.00,,,,,,,,,,,,,,,,,,,,,
322,,50.00,,,,,,,,,,,,,,,,,,,,,,,
322,,42.86,,,-17.95,21.88,23.93,1.38,2.04,0.00,0.00,6.67,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,-33.33,60.00,-6.25,33.33,15.00,8.70,8.00,-1.85,32.08,-8.57,-18.75,15.38,60.00,0.00,-20.83,-23.68,-3.45,-10.71,20.00,,,,,
322,,13.33,64.71,0.00,,,,,,,,,,,,,,,,,,,,,
322,,,-28.57,60.00,0.00,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,63.46,11.76,-10.53,11.18,32.28,,,,,,,,,,,,
322,,,,,0.00,,,,,,,,,,,,,,,,,,,,
322,,,,,-5.66,0.00,-10.00,22.22,-9.09,0.00,,,,,,,,,,,,,,,
322,,,,,,,,,50.00,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,0.00,,,,,,,,,,,,,,,
322,,,,,,0.00,20.00,20.00,,,,,,,,,,,,,,,,,
322,,,,,,-51.25,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,-48.15,57.14,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,0.00,,,,,,
322,,,,,,,29.55,,,,,,,,,,,,,,,,,,
322,,,,,,,-42.03,,,,,,,,,,,,,,,,,,
322,,,,,,,,66.67,-16.00,-57.14,,,-25.00,,,0.00,-25.00,0.00,-56.67,207.69,0.00,,,,
322,,,,,,,,,,,16.67,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,5.56,0.00,
322,,,,,,,,,0.00,5.88,66.67,-2.00,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,-16.28,,
322,,,,,,,,,33.33,25.00,,,,,,,,,,,,,,,
322,,,,,,,,,5.26,-20.00,0.00,87.50,-20.00,25.00,-20.00,0.00,,,,,,,,,
322,,,,,,,,,,,,,,,,-40.00,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,-51.92,,,,,,,,
322,,,,,,,,,,,15.00,-13.04,-25.00,0.00,0.00,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,-27.08,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,-33.33,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,11.11,,,,,,,,,,,,,
322,,,,,,,,,,,,,-4.00,,,,,,,,,,,,0.00
322,,,,,,,,,,,,,,,,,,,,,-12.00,40.91,,,
322,,,,,,,,,,,,,-14.29,30.67,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,0.00,20.00,33.33,-16.67,25.00,-20.00,0.00,40.00,-3.57,-3.70,0.00,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,275.00,,,,,,,,,,
322,,,,,,,,,,,,,,,180.00,0.00,-28.57,,,-34.62,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,68.42
322,,,,,,,,,,,,,,,,,,50.00,,,,,,,
322,,,,,,,,,,,,,,,,,,,38.89,-72.00,,,,,
322,,,,,,,,,,,,,,,,,,,,22.73,0.00,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,27.78,8.70,-4.00,0.00,4.17
322,,,,,,,,,,,,,,,,,,,,,,,14.81,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,24.44,,,
322,,,,,,,,,,,,,,,,,,,,,,-24.00,,,
322,,,,,,,,,,,,,,,,,,,,,,,,169.23,
322,,,,,,,,,,,,,,,,,,,,,,,-28.00,,
322,,,,,,,,,,,,,,,,,,,,,,,-37.50,,
322,,,,,,,,,,,,,,,,,,,,,,,,-31.03,
322,,,,,,,,,,,,,,,,,,,,,,,,16.67,
322,,,,,,,,,,,,,,,,,,,,,,,,45.00,-37.93
322,,,,,,,,,,,,,,,,,,,,,,,,-46.15,
322,,,,,,,,,,,,,,,,,,,,,,,,,66.67
322,,,,,,,,,,,,,,,,,,,,,,,,,0.00
182,-28.57,60.00,12.50,22.22,9.09,,,,,,,,,,,,,,,,,,,,
182,25.00,,,,,,,,,,,,,,,,,,,,,,,,
182,-10.00,,,,,,,,,,,,,,,,,,,,,,,,
182,111.76,-38.89,45.45,9.38,17.14,-14.63,14.29,,,,,,-62.50,,,,,,,,,,,,
182,50.00,-20.00,,,,,,,,,,,,,,,,,,,,,,,
182,100.00,-40.00,-16.67,-20.00,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,-22.86
182,,,,,-11.11,10.62,,,,,,,,,,,,,,,0.00,,,,
182,-12.50,71.43,12.50,2.96,43.88,32.00,-7.95,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00
182,,-40.00,,,,,,,,,,,,,91.67,,,,,,,,,,
182,,64.66,,,,,,,,,,,,,,,,,,,,,,,
182,,29.41,,,,,,,,,,,,,,,,,,,,,,,
182,,,-7.14,0.00,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,25.00,,,25.00,,,,,,,,,,,,,,,
