code,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
911,,,,,,0.00,0.00,0.00,0.00,8.33,23.08,0.00,0.00,,,,0.00,0.00,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,20.00,,,,,,,,,0.00,,,0.00,0.00,15.00,0.00,-13.04,35.00,11.11,,,11.11,-10.00
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,1233.33,,,,,,,,,,,,,,,,,,,,,,
911,,,-17.78,,,,,,,,,,,,,,,,,,,,,,
911,,,,,-46.67,50.00,,,,,,,,,,,,,,,,,,,
911,,,61.29,-30.00,,,,,,,,,,,,,,,,,,,,,
911,,,75.71,5.69,,,,114.29,-53.33,42.86,-40.00,,,20.00,25.00,-6.67,,,,,,,,,
911,,,,,,58.00,1.27,,,,,,,,,,,,,,,,,,
911,,,50.00,,,,,,,,,-42.31,0.00,,,,,,,,,-20.00,87.50,-14.67,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,-15.38,0.00,0.00,9.09,16.67,0.00,0.00,-21.43,81.82,-40.00,16.67,-14.29,16.67,,,33.33,,,,,,
911,,,,0.00,16.67,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,5.56,-5.26,11.11,-2.00,2.04,-15.00,52.94,-9.23,27.12,-8.67,31.39,-13.89,,,8.40,7.75,7.19,-6.71,42.45,5.05,4.81,-22.02
911,,,,0.00,-40.00,,,,,,,,,,,,,,,,,,,,25.00
911,,,,,,,50.00,0.00,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,-5.26,11.11,0.00,0.00,-40.00
911,,,,20.00,-1.67,,,,,,,,,,,,,,,,,,,,
911,,,,-9.09,,,,,,,,,,,,,,,,,,,,,
911,,,,,0.00,8.00,1.85,0.00,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,-8.33,-27.27,137.50,-55.26,-17.65,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,-37.50,,,,,0.00,80.00,,,,,,,,,-0.85,,,,,
911,,,,,20.00,0.00,25.00,-13.33,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,20.00,,,,,,,
911,,,,,66.67,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,5.88,3.33,-8.60,,,,,
911,,,,,-10.00,0.00,11.11,,,,,,,,,,,,,,,,,,
911,,,,,30.00,-3.85,-4.00,8.33,,,-3.70,7.69,0.00,14.29,6.25,-11.76,13.33,0.00,0.00,-52.94,100.00,0.00,3.12,9.09,5.56
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,5.00,-4.76,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,8.00,,,,,,,,,,,,,,,,
911,,,,,,,-41.18,,,,,,,,,,,,,,,,,,
911,,,,,,14.29,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,0.00,10.00,22.73,,,,0.00,0.00
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,100.00,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,0.00,25.00,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,-20.00,,,,,,,,,,,,,,,,,,,
911,,,,,,5.88,,,,-9.33,17.65,5.00,2.38,-30.23,16.67,-14.29,-16.67,0.00,0.00,,,,,,
911,,,,,,,,,,,,,,,,,,,,,7.50,37.98,1.12,4.44,3.19
